PA14_ID	GeneName	Essentiality	KEGG_ID	COG_ID	FUNCTION
PA14_14680	suhB	Nonessential	K01092	COG0483	Carbohydrate transport and metabolism
PA14_14690		Nonessential		COG0565	"Translation, ribosomal structure and biogenesis"
PA14_14700	cysE	Nonessential	K00640	COG1045	Amino acid transport and metabolism
PA14_14710		Nonessential		COG1959	Transcription
PA14_14730	iscS	Essential	K04487	COG1104	Amino acid transport and metabolism
PA14_14740	iscU	Essential	K04488	COG0822	Energy production and conversion
PA14_14750	icsA	Essential	K13628	COG0316	"Posttranslational modification, protein turnover, chaperones"
PA14_14770	hscB	Nonessential	K04082	COG1076	"Posttranslational modification, protein turnover, chaperones"
PA14_14780	hscA	Essential	K04044	COG0443	"Posttranslational modification, protein turnover, chaperones"
PA14_14800	fdx2	Essential	K04755	COG0633	Energy production and conversion
PA14_14810		Nonessential		COG2975	Function unknown
PA14_14820	ndk	Nonessential	K00940	COG0105	Nucleotide transport and metabolism
PA14_14830		Nonessential		COG0820	General function prediction only
PA14_14850	pilF	Nonessential	K02656	COG3063	Cell motility and secretion / Intracellular trafficking and secretion
PA14_14860		Nonessential		COG1426	Function unknown
PA14_14880	gcpE	Essential	K03526	COG0821	Lipid metabolism
PA14_14890	hisS	Essential	K01892	COG0124	"Translation, ribosomal structure and biogenesis"
PA14_14900		Nonessential		COG2976	Function unknown
PA14_14910		Essential		COG1520	Function unknown
PA14_14930	engA	Essential	K03977	COG1160	General function prediction only
PA14_14940	ybdL	Nonessential	K14287	COG0436	Amino acid transport and metabolism
PA14_14960	yafV	Nonessential	K08590	COG0388	General function prediction only
PA14_14975		Nonessential		COG3753	Function unknown
PA14_14990	mocA	Nonessential		COG0667	Energy production and conversion
PA14_15000		Nonessential			
PA14_15020		Nonessential			
PA14_15030	leuA	Nonessential	K01649	COG0119	Amino acid transport and metabolism
PA14_15050		Nonessential			
PA14_15070	oprC	Nonessential	K02014	COG1629	Inorganic ion transport and metabolism
PA14_15080		Nonessential		COG3182	Function unknown
PA14_15090		Nonessential			
PA14_15100		Nonessential		COG0739	"Cell envelope biogenesis, outer membrane"
PA14_15110		Nonessential			
PA14_15120		Nonessential		COG2847	Inorganic ion transport and    metabolism
PA14_15130		Nonessential			
PA14_15140		Nonessential		COG1335	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_15150		Nonessential		COG4977	Transcription
PA14_15160		Nonessential		COG2173	"Cell envelope biogenesis, outer membrane"
PA14_15180		Nonessential		COG1593	Carbohydrate transport and metabolism
PA14_15190		Nonessential		COG3090	Carbohydrate transport and metabolism
PA14_15200		Nonessential		COG1638	Carbohydrate transport and metabolism
PA14_15210		Nonessential		COG0583	Transcription
PA14_15230	xseA	Nonessential	K03601	COG1570	"DNA replication, recombination, and repair"
PA14_15240		Nonessential		COG0583	Transcription
PA14_15250		Nonessential			
PA14_15260		Nonessential		COG0123	"Chromatin structure and dynamics / Secondary metabolites biosynthesis, transport, and catabolism"
PA14_15270		Nonessential			
PA14_15280		Nonessential			
PA14_15290		Nonessential		COG2197	Signal transduction mechanisms / Transcription
PA14_15310	guaB	Essential	K00088	COG0516	Nucleotide transport and metabolism
PA14_15340	guaA	Essential	K01951	COG0519	Nucleotide transport and metabolism
PA14_15350		Nonessential		COG0582	"DNA replication, recombination, and repair"
PA14_15360		Nonessential			
PA14_15370		Nonessential			
PA14_15380	repA	Nonessential	K07505	COG3598	"DNA replication, recombination, and repair"
PA14_15400	repC	Nonessential			
PA14_15410		Nonessential			
PA14_15420		Nonessential			
PA14_15430	tnpR	Nonessential		COG1961	"DNA replication, recombination, and repair"
PA14_15435		Nonessential		COG2200	Signal    transduction mechanisms
PA14_15445	merE	Nonessential			
PA14_15450	merD	Nonessential			
PA14_15460	merA	Nonessential	K00520	COG1249	Energy production and conversion
PA14_15470	merP	Nonessential	K08364	COG2608	Inorganic ion transport and metabolism
PA14_15475	merT	Nonessential	K08363		
PA14_15480	merR	Nonessential	K08365	COG0789	Transcription
PA14_15490		Nonessential			
PA14_15500	traK	Nonessential			
PA14_15510	traJ	Nonessential			
PA14_15520	trbJ	Nonessential		COG5314	Intracellular trafficking and secretion
PA14_15530	trbK	Nonessential			
PA14_15540	trbL	Nonessential	K07344	COG3846	Intracellular trafficking and secretion
PA14_15560		Nonessential			
PA14_15570		Nonessential			
PA14_15580		Essential		COG1002	Defense mechanisms
PA14_15590		Essential		COG1061	"Transcription / DNA replication, recombination, and repair"
PA14_15600		Nonessential			
PA14_15610		Nonessential		COG4694	Function unknown
PA14_15620		Nonessential		COG1028	"Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only"
PA14_15630		Nonessential			
PA14_15650		Nonessential		COG2207	Transcription
PA14_15660		Nonessential		COG2130	General function prediction only
PA14_15670	cumA	Nonessential		COG2132	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_15680	cumB	Nonessential		COG0590	"Nucleotide transport and metabolism / Translation, ribosomal structure and biogenesis"
PA14_15700		Nonessential		COG0814	Amino acid transport and metabolism
PA14_15710		Nonessential		COG3644	Function unknown
PA14_15720	yfhD	Nonessential		COG4623	"Cell envelope biogenesis, outer membrane"
PA14_15740	purL	Nonessential	K01952	COG0046	Nucleotide transport and metabolism
PA14_15750		Nonessential			
PA14_15770		Nonessential		COG3323	Function unknown
PA14_15780	nagE	Nonessential	K02803;K02804	COG1263	Carbohydrate transport and metabolism
PA14_15790	nagF	Nonessential	K11189	COG1080	Carbohydrate transport and metabolism
PA14_15810	glmS	Nonessential	K00820	COG2222	"Cell envelope biogenesis, outer membrane"
PA14_15820	nagA	Nonessential	K01443	COG1820	Carbohydrate transport and metabolism
PA14_15830		Nonessential		COG2188	Transcription
PA14_15840		Nonessential		COG3034	Function unknown
PA14_15850		Nonessential		COG1051	Nucleotide transport and metabolism
PA14_15860		Nonessential		COG0494	"DNA replication, recombination, and repair / General function prediction only"
PA14_15870		Nonessential		COG0663	General function prediction only
PA14_15880		Nonessential		COG3313	General function prediction only
PA14_15890	purT	Nonessential	K08289	COG0027	Nucleotide transport and metabolism
PA14_15910		Nonessential		COG2755	Amino acid transport and metabolism
PA14_15920	yhjE	Nonessential			
PA14_15930	yfjD	Nonessential		COG4536	Inorganic ion transport and metabolism
PA14_15940		Nonessential		COG4137	General function prediction only
PA14_15960	ffh	Essential	K03106	COG0541	Intracellular trafficking and secretion
PA14_15970	rpsP	Essential	K02959	COG0228	"Translation, ribosomal structure and biogenesis"
PA14_15980	rimM	Essential	K02860	COG0806	"Translation, ribosomal structure and biogenesis"
PA14_15990	trmD	Nonessential	K00554	COG0336	"Translation, ribosomal structure and biogenesis"
PA14_16000	rplS	Essential	K02884	COG0335	"Translation, ribosomal structure and biogenesis"
PA14_16010		Nonessential		COG1607	Lipid metabolism
PA14_16020		Nonessential			
PA14_16030		Nonessential		COG0025	Inorganic ion transport and metabolism
PA14_16040	xerD	Nonessential	K04763	COG4974	"DNA replication, recombination, and repair"
PA14_16050	dsbC	Nonessential	K03981	COG1651	"Posttranslational modification, protein turnover, chaperones"
PA14_16070	hom	Nonessential	K00003	COG0460	Amino acid transport and metabolism
PA14_16090	thrC	Nonessential	K01733	COG0498	Amino acid transport and metabolism
PA14_16100		Nonessential			
PA14_16110		Nonessential			
PA14_16130		Nonessential		COG1804	Energy production and conversion
PA14_16140		Nonessential		COG3789	Function unknown
PA14_16150		Nonessential		COG1842	Transcription / Signal transduction mechanisms
PA14_16160		Nonessential			
PA14_16180		Nonessential		COG2268	Function unknown
PA14_16190		Nonessential			
PA14_16200		Nonessential		COG1502	Lipid metabolism
PA14_16210		Nonessential		COG4681	Function unknown
PA14_16220	recJ	Nonessential	K07462	COG0608	"DNA replication, recombination, and repair"
PA14_16250	lasB	Nonessential	K01399	COG3227	Amino acid transport and metabolism
PA14_16260		Nonessential		COG1902	Energy production and conversion
PA14_16270		Nonessential			
PA14_16280		Nonessential		COG1309	Transcription
PA14_16290		Nonessential			
PA14_16300		Nonessential			
PA14_16310		Nonessential			
PA14_16320	fkbP-1	Nonessential	K01802	COG0545	"Posttranslational modification, protein turnover, chaperones"
PA14_16330		Nonessential			
PA14_16340		Nonessential			
PA14_16350		Nonessential		COG2197	Signal transduction mechanisms / Transcription
PA14_16360		Nonessential		COG0579	General function prediction only
PA14_16370		Nonessential		COG2979	Function unknown
PA14_16380		Nonessential		COG0583	Transcription
PA14_16390		Nonessential		COG2303	Amino acid transport and metabolism
PA14_16410		Nonessential			
PA14_16430	wspA	Nonessential	K13487	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA14_16440	wspB	Nonessential	K13488	COG0835	Cell motility and secretion / Signal transduction mechanisms
PA14_16450	wspC	Nonessential	K13486	COG1352	Cell motility and secretion / Signal transduction mechanisms
PA14_16460	wspD	Nonessential	K13489	COG0835	Cell motility and secretion / Signal transduction mechanisms
PA14_16470	wspE	Nonessential	K13490	COG0643	Cell motility and secretion / Signal transduction mechanisms
PA14_16480	wspF	Essential	K13491	COG2201	Cell motility and secretion / Signal transduction mechanisms
PA14_16500	wspR	Nonessential	K11444	COG3706	Signal transduction mechanisms
PA14_16510		Essential		COG1186	"Translation, ribosomal structure and biogenesis"
PA14_16530	lysS	Essential	K04567	COG1190	"Translation, ribosomal structure and biogenesis"
PA14_16550		Nonessential		COG3226	Function unknown
PA14_16560		Nonessential			
PA14_16580		Nonessential		COG3930	Function unknown
PA14_16590		Nonessential		COG2013	Function unknown
PA14_16600		Nonessential		COG1073	General function prediction only
PA14_16610		Nonessential			
PA14_16620		Nonessential		COG2110	General function prediction only
PA14_16630		Nonessential		COG2885	"Cell envelope biogenesis, outer membrane"
PA14_16640		Nonessential			
PA14_16660	cadA	Nonessential	K01534	COG2217	Inorganic ion transport and metabolism
PA14_16670	cadR	Nonessential		COG0789	Transcription
PA14_16680		Nonessential			
PA14_16690	ppc	Nonessential	K01595	COG2352	Energy production and conversion
PA14_16700	adk	Essential	K00939	COG0563	Nucleotide transport and metabolism
PA14_16710	yeaZ	Essential	K14742	COG1214	"Posttranslational modification, protein turnover, chaperones"
PA14_16720		Nonessential			
PA14_16730		Nonessential		COG1801	Function unknown
PA14_16740		Nonessential		COG2513	Carbohydrate transport and metabolism
PA14_16750		Nonessential		COG3921	Function unknown
PA14_16770		Nonessential			
PA14_16780		Nonessential		COG2124	"Secondary metabolites biosynthesis, transport, and catabolism"
PA14_16790		Nonessential		COG1309	Transcription
PA14_16800		Nonessential		COG0845	"Cell envelope biogenesis, outer membrane"
PA14_16820		Nonessential		COG0841	Defense mechanisms
PA14_16830		Nonessential			
PA14_16840		Nonessential		COG3126	Function unknown
PA14_16860	plsB	Nonessential	K00631	COG2937	Lipid metabolism
PA14_16870		Nonessential		COG1131	Defense mechanisms
PA14_16880		Nonessential		COG1277	General function prediction only
PA14_16890		Nonessential		COG3225	Cell motility and secretion
PA14_16910		Nonessential			
PA14_16920	sufE	Nonessential	K02426	COG2166	"Posttranslational modification, protein turnover, chaperones"
PA14_16930	csdA	Nonessential	K01766	COG0520	"Posttranslational modification, protein turnover, chaperones"
PA14_16950	dapD	Essential	K00674	COG2171	Amino acid transport and metabolism
PA14_16960		Nonessential		COG1280	Amino acid transport and metabolism
PA14_16970		Nonessential		COG1393	Inorganic ion transport and metabolism
PA14_16980		Nonessential		COG0727	General function prediction only
PA14_16990		Nonessential			
PA14_17000		Nonessential			
PA14_17010	yjcE	Nonessential	K03316	COG0025	Inorganic ion transport and metabolism
PA14_17030	dapC	Nonessential	K14267	COG0436	Amino acid transport and metabolism
PA14_17040	glnD	Nonessential	K00990	COG2844	"Posttranslational modification, protein turnover, chaperones"
PA14_17050	map	Nonessential	K01265	COG0024	"Translation, ribosomal structure and biogenesis"
PA14_17060	rpsB	Essential	K02967	COG0052	"Translation, ribosomal structure and biogenesis"
PA14_17070	tsf	Essential	K02357	COG0264	"Translation, ribosomal structure and biogenesis"
PA14_17080	pyrH	Essential	K09903	COG0528	Nucleotide transport and metabolism
PA14_17100	frr	Essential	K02838	COG0233	"Translation, ribosomal structure and biogenesis"
PA14_17110	uppS	Nonessential	K00806	COG0020	Lipid metabolism
PA14_17120	cdsA	Essential	K00981	COG0575	Lipid metabolism
PA14_17130	dxr	Essential	K00099	COG0743	Lipid metabolism
PA14_17140	yaeL	Nonessential	K11749	COG0750	"Cell envelope biogenesis, outer membrane"
PA14_17150		Essential		COG4775	"Cell envelope biogenesis, outer membrane"
PA14_17170	ompH	Essential	K06142	COG2825	"Cell envelope biogenesis, outer membrane"
PA14_17180	lpxD	Essential	K02536	COG1044	3-hydroxymyristoyl
PA14_17190	fabZ	Essential	K02372	COG0764	Lipid metabolism
PA14_17210	lpxA	Essential	K00677	COG1043	acyl carrier protein
PA14_17220	lpxB	Essential	K00748	COG0763	"Cell envelope biogenesis, outer membrane"
PA14_17230	rnhB	Nonessential	K03470	COG0164	"DNA replication, recombination, and repair"
PA14_17250	yaaJ	Nonessential	K03310	COG1115	Amino acid transport and metabolism
PA14_17260	dnaE	Essential	K02337	COG0587	"DNA replication, recombination, and repair"
PA14_17270	accA	Essential	K01962	COG0825	Lipid metabolism
PA14_17280	mesJ	Essential	K04075	COG0037	"Cell cycle control, cell division, chromosome partitioning"
PA14_17290	pyrG	Essential	K01937	COG0504	Nucleotide transport and metabolism
PA14_17310	kdsA	Essential	K01627	COG2877	"Cell envelope biogenesis, outer membrane"
PA14_17320	eno	Essential	K01689	COG0148	Carbohydrate transport and metabolism
PA14_17330		Essential		COG2919	Cell division and chromosome partitioning
PA14_17340	ispD	Essential	K00991	COG1211	Lipid metabolism
PA14_17350		Nonessential		COG0425	"Posttranslational modification, protein turnover, chaperones"
PA14_17370	yedE	Nonessential	K07112	COG2391	General function prediction only
PA14_17380		Nonessential		COG0583	Transcription
PA14_17400	adhC	Nonessential	K00121	COG1062	Energy production and conversion
PA14_17410		Nonessential		COG0627	General function prediction only
PA14_17420	ispF	Essential	K01770	COG0245	Lipid metabolism
PA14_17440		Nonessential		COG0585	Function unknown
PA14_17450	surE	Nonessential	K03787	COG0496	General function prediction only
PA14_17460	pcm	Nonessential	K00573	COG2518	"Posttranslational modification, protein turnover, chaperones"
PA14_17470	nlpD	Nonessential	K06194	COG0739	"Cell envelope biogenesis, outer membrane"
PA14_17480	rpoS	Nonessential	K03087	COG0568	Transcription
PA14_17490	fdxA	Nonessential	K05524	COG1146	Energy production and conversion
PA14_17500	mutS	Nonessential	K03555	COG0249	"DNA replication, recombination, and repair"
PA14_17510		Nonessential		COG0823	Intracellular trafficking and secretion
PA14_17520	cinA	Nonessential	K03743	COG1546	General function prediction only
PA14_17530	recA	Essential	K03553	COG0468	"DNA replication, recombination, and repair"
PA14_17540	recX	Nonessential	K03565	COG2137	General function prediction only
PA14_17550		Nonessential		COG1611	General function prediction only
PA14_17570		Nonessential		COG1236	"Translation, ribosomal structure and biogenesis"
PA14_17580		Nonessential		COG3957	Carbohydrate transport and metabolism
PA14_17590		Nonessential		COG3530	Function unknown
PA14_17600		Nonessential			
PA14_17610	potD	Nonessential	K11069	COG0687	Amino acid transport and metabolism
PA14_17620	potC	Nonessential	K11070	COG1177	Amino acid transport and metabolism
PA14_17630	potB	Nonessential	K11071	COG1176	Amino acid transport and metabolism
PA14_17640	potA	Nonessential	K11072	COG3842	Amino acid transport and metabolism
PA14_17650		Nonessential		COG3148	Function unknown
PA14_17660		Nonessential		COG0697	Carbohydrate transport and metabolism / Amino acid transport and metabolism / General function prediction only
PA14_17670		Nonessential		COG2197	Signal transduction mechanisms / Transcription
PA14_17675	dgkA	Nonessential	K00901	COG0818	"Cell envelope biogenesis, outer membrane"
PA14_17690		Nonessential		COG0069	Amino acid transport and metabolism
PA14_17700	rpmE	Nonessential	K02909	COG0254	"Translation, ribosomal structure and biogenesis"
PA14_17710		Nonessential		COG0257	"Translation, ribosomal structure and biogenesis"
PA14_17720		Nonessential		COG2771	Transcription
PA14_17730		Nonessential		COG0388	General function prediction only
PA14_17740	ycjJ	Nonessential		COG0531	Amino acid transport and metabolism
PA14_17760	ada	Nonessential	K10778	COG2169	Nucleotide transport and metabolism
PA14_17780		Nonessential			
PA14_17790		Nonessential		COG0583	Transcription
PA14_17810		Nonessential		COG1960	Lipid metabolism
PA14_17820		Nonessential		COG1804	Energy production and conversion
PA14_17850	fadB	Nonessential		COG1024	Lipid metabolism
PA14_17860	paaH	Nonessential	K00074	COG1250	Lipid metabolism
PA14_17880	paaJ	Nonessential	K00626	COG0183	Lipid metabolism
PA14_17890		Nonessential			
PA14_17900	metR	Nonessential	K03576	COG0583	Transcription
PA14_17910	lipG	Nonessential		COG0596	General function prediction only
PA14_17920	glpM	Nonessential	K02442	COG3136	General function prediction only
PA14_17930	glpD	Nonessential	K00111	COG0578	Energy production and conversion
PA14_17940	glpR	Nonessential	K02444	COG1349	Transcription / Carbohydrate transport and metabolism
PA14_17960	glpK	Nonessential	K00864	COG0554	Energy production and conversion
PA14_17980	glpF	Nonessential	K02440	COG0580	Carbohydrate transport and metabolism
PA14_17990	ybaK	Nonessential		COG2606	Function unknown
PA14_18010	glpK	Nonessential	K00864	COG0554	Energy production and conversion
PA14_18020		Nonessential		COG0384	General function prediction only
PA14_18040		Nonessential			
PA14_18050		Nonessential			
PA14_18060		Nonessential		COG3038	Energy production and conversion
PA14_18070		Nonessential		COG2608	Inorganic ion transport and metabolism
PA14_18080		Nonessential		COG1309	Transcription
PA14_18090		Nonessential		COG2814	Carbohydrate transport and metabolism
PA14_18100		Nonessential			
PA14_18110	mmsR	Nonessential		COG2207	Transcription
PA14_18120	mmsA	Nonessential	K00140	COG1012	Energy production and conversion
PA14_18140	mmsB	Nonessential	K00020	COG2084	Lipid metabolism
PA14_18150	acsL	Nonessential	K01908	COG0365	Lipid metabolism
PA14_18160		Nonessential		COG0604	Energy production and conversion / General function prediction only
PA14_18180		Nonessential		COG1359	Function unknown
PA14_18200		Nonessential		COG0583	Transcription
PA14_18210		Nonessential		COG0084	"DNA replication, recombination, and repair"
PA14_18230	fruR	Nonessential	K03435	COG1609	Transcription
PA14_18250	fruB	Nonessential	K02768;K08483;K11183	COG1080	Carbohydrate transport and metabolism
PA14_18260	fruK	Nonessential	K00882	COG1105	Carbohydrate transport and metabolism
PA14_18275	fruA	Nonessential	K02769;K02770	COG1299	Carbohydrate transport and metabolism
PA14_18300		Nonessential		COG1004	"Cell envelope biogenesis, outer membrane"
PA14_18310		Nonessential			
PA14_18320		Nonessential			
PA14_18330	arnT	Nonessential	K07264	COG1807	"Cell envelope biogenesis, outer membrane"
PA14_18340		Nonessential		COG0726	Carbohydrate transport and metabolism
PA14_18350	fmt	Nonessential	K10011	COG0223	"Translation, ribosomal structure and biogenesis"
PA14_18360	prmF	Nonessential	K10012	COG0463	"Cell envelope biogenesis, outer membrane"
PA14_18370	arnB	Nonessential	K07806	COG0399	"Cell envelope biogenesis, outer membrane"
PA14_18380	algA	Nonessential	K16011	COG0836	"Cell envelope biogenesis, outer membrane"
PA14_18410	algF	Nonessential			
PA14_18430	algJ	Nonessential			
PA14_18450	algI	Nonessential		COG1696	"Cell envelope biogenesis, outer membrane"
PA14_18470	algL	Nonessential	K01729		
PA14_18480	algX	Nonessential			
PA14_18500	algG	Nonessential			
PA14_18510	algE	Nonessential	K16081		
PA14_18520	algK	Nonessential	K07126	COG0790	General function prediction only
PA14_18550	alg44	Nonessential			
PA14_18565	alg8	Nonessential			
PA14_18580	algD	Nonessential	K00066	COG1004	"Cell envelope biogenesis, outer membrane"
PA14_18590		Nonessential		COG3022	Function unknown
PA14_18600		Nonessential		COG3842	Amino acid transport and metabolism
PA14_18610	argF	Nonessential	K00611	COG0078	Amino acid transport and metabolism
PA14_18620		Nonessential			
PA14_18630	eprS	Nonessential	K12685	COG4625	Function unknown
PA14_18640		Nonessential		COG0243	Energy production and conversion
PA14_18650	ydhD	Nonessential	K07390	COG0278	"Posttranslational modification, protein turnover, chaperones"
PA14_18660		Nonessential			
PA14_18670	bfrB	Essential	K03594	COG2193	Inorganic ion transport and metabolism
PA14_18680	bfd	Nonessential	K02192	COG2906	Inorganic ion transport and metabolism
PA14_18690	ahpC	Nonessential	K03386	COG0450	"Posttranslational modification, protein turnover, chaperones"
PA14_18700	rnt	Nonessential	K03683	COG0847	"DNA replication, recombination, and repair"
PA14_18710	pyrC	Essential	K01465	COG0418	Nucleotide transport and metabolism
PA14_18720	motY	Nonessential		COG2885	"Cell envelope biogenesis, outer membrane"
PA14_18740	argG	Nonessential	K01940	COG0137	Amino acid transport and metabolism
PA14_18750	gloA1	Nonessential	K01759	COG0346	Amino acid transport and metabolism
PA14_18760	mexE	Nonessential		COG0845	"Cell envelope biogenesis, outer membrane"
PA14_18780	mexF	Nonessential		COG0841	Defense mechanisms
PA14_18790	opmE	Nonessential		COG1538	"Cell envelope biogenesis, outer membrane / Intracellular trafficking and secretion"
PA14_18800		Nonessential		COG2608	Inorganic ion transport and metabolism
PA14_18810		Nonessential			
PA14_18820		Nonessential			
PA14_18830		Nonessential		COG0015	Nucleotide transport and metabolism
PA14_18850		Nonessential		COG0015	Nucleotide transport and metabolism
PA14_18860		Nonessential		COG2813	"Translation, ribosomal structure and biogenesis"
PA14_18870		Nonessential			
PA14_18880	nth	Nonessential	K10773	COG0177	"DNA replication, recombination, and repair"
PA14_18890	rnfE	Nonessential	K03613	COG4660	Energy production and conversion
PA14_18900	rnfG	Nonessential	K03612	COG4659	Energy production and conversion
PA14_18910	rnfD	Nonessential	K03614	COG4658	Energy production and conversion
PA14_18920	rnfC	Nonessential	K03615	COG4656	Energy production and conversion
PA14_18930	rnfB	Nonessential	K03616	COG2878	Energy production and conversion
PA14_18950	rnfA	Nonessential	K03617	COG4657	Energy production and conversion
PA14_18960		Nonessential			
PA14_18970	pldA	Nonessential		COG1502	Lipid metabolism
PA14_18985		Nonessential		COG3501	Function unknown
PA14_19010		Nonessential			
PA14_19020		Nonessential			
PA14_19030		Nonessential			
PA14_19050	metG	Nonessential	K01874	COG0143	"Translation, ribosomal structure and biogenesis"
PA14_19065	mrp	Essential	K03593	COG0489	Cell division and chromosome partitioning
PA14_19090	dcd	Nonessential	K01494	COG0717	Nucleotide transport and metabolism
PA14_19100	rhlA	Nonessential	K18100	COG0596	General function prediction only
PA14_19110	rhlB	Nonessential	K18101	COG1819	Carbohydrate transport and metabolism / Signal transduction mechanisms
PA14_19120	rhlR	Nonessential	K18099	COG2771	Transcription
PA14_19130	rhlI	Nonessential	K13061	COG3916	"Signal transduction mechanisms / Secondary metabolites biosynthesis, transport, and catabolism"
PA14_19140	pheC	Nonessential	K01713	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA14_19150	yigM	Nonessential		COG0697	Carbohydrate transport and metabolism / Amino acid transport and metabolism / General function prediction only
PA14_19160	rarD	Nonessential	K05786	COG2962	General function prediction only
PA14_19170	yafL	Nonessential		COG0791	"Cell envelope biogenesis, outer membrane"
PA14_19190	sfcA	Nonessential	K00027	COG0281	Energy production and conversion
PA14_19205		Nonessential			
PA14_19210		Nonessential		COG0262	Coenzyme metabolism
PA14_19230	ybdG	Nonessential	K16053	COG0668	"Cell envelope biogenesis, outer membrane"
PA14_19270		Nonessential		COG2814	Carbohydrate transport and metabolism
PA14_19290	srmB	Nonessential		COG0513	"DNA replication, recombination, and repair / Transcription / Translation, ribosomal structure and biogenesis"
PA14_19310		Nonessential			
PA14_19320		Nonessential			
PA14_19330		Nonessential		COG3089	Function unknown
PA14_19340		Nonessential		COG0642	Signal transduction mechanisms
PA14_19350		Nonessential		COG1363	Carbohydrate transport and metabolism
PA14_19360		Nonessential		COG1181	"Cell envelope biogenesis, outer membrane"
PA14_19370	asnB	Nonessential	K01953	COG0367	Amino acid transport and metabolism
PA14_19380		Nonessential			
PA14_19390		Nonessential		COG0730	General function prediction only
PA14_19400		Nonessential		COG4121	Function unknown
PA14_19410		Nonessential		COG2326	Function unknown
PA14_19430		Nonessential		COG0183	Lipid metabolism
PA14_19450		Nonessential		COG3132	Function unknown
PA14_19470	mqoA	Nonessential	K00116	COG0579	General function prediction only
PA14_19480		Nonessential			
PA14_19490	lsfA	Nonessential		COG0450	"Posttranslational modification, protein turnover, chaperones"
PA14_19500	ssuA	Nonessential	K15553	COG0715	Inorganic ion transport and metabolism
PA14_19510	ssuC	Nonessential	K15554	COG0600	Inorganic ion transport and metabolism
PA14_19520	ssuB	Nonessential	K15555	COG1116	Inorganic ion transport and metabolism
PA14_19530	ssuE	Nonessential	K00299	COG0431	General function prediction only
PA14_19540	ssuA	Nonessential	K15553	COG0715	Inorganic ion transport and metabolism
PA14_19560	ssuD	Nonessential	K04091	COG2141	Energy production and conversion
PA14_19570	ssuC	Nonessential	K15554	COG0600	Inorganic ion transport and metabolism
PA14_19580	ssuB	Nonessential	K15555	COG1116	Inorganic ion transport and metabolism
PA14_19590	ssuF	Nonessential		COG3585	Coenzyme metabolism
PA14_19600		Nonessential			
PA14_19610		Nonessential		COG3492	Function unknown
PA14_19620	folX	Nonessential	K07589	COG1539	Coenzyme metabolism
PA14_19630	folE1	Nonessential	K01495	COG0302	Coenzyme metabolism
PA14_19640	ydgB	Nonessential	K13938	COG1028	"Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only"
PA14_19650		Nonessential		COG3224	Function unknown
PA14_19660	mioC	Nonessential	K06205	COG0716	Energy production and conversion
PA14_19670		Nonessential		COG0583	Transcription
PA14_19680		Nonessential		COG1380	General function prediction only
PA14_19690		Nonessential		COG1346	"Cell envelope biogenesis, outer membrane"
PA14_19700		Nonessential		COG0235	Carbohydrate transport and metabolism
PA14_19710		Nonessential		COG0596	General function prediction only
PA14_19720		Nonessential			
PA14_19730		Nonessential		COG1028	"Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only"
PA14_19740		Nonessential		COG1024	Lipid metabolism
PA14_19750		Essential		COG3450	General function prediction only
PA14_19770		Nonessential		COG0665	Amino acid transport and metabolism
PA14_19800		Nonessential		COG2207	Transcription
PA14_19810		Nonessential			
PA14_19830		Nonessential			
PA14_19850		Nonessential		COG2909	Transcription
PA14_19860		Nonessential		COG2912	Function unknown
PA14_19870	ldh	Nonessential	K00263	COG0334	Amino acid transport and metabolism
PA14_19900		Nonessential		COG1071	Energy production and conversion
PA14_19910	pdhB	Nonessential	K00162	COG0022	Energy production and conversion
PA14_19920		Nonessential		COG0508	Energy production and conversion
PA14_19930		Nonessential			
PA14_19940		Nonessential			
PA14_19950		Nonessential		COG3141	General function prediction only
PA14_19960		Nonessential			
PA14_19970		Nonessential			
PA14_19990		Nonessential		COG1595	Transcription
PA14_20000		Nonessential		COG3712	Inorganic ion transport and metabolism / Signal transduction mechanisms
PA14_20010	hasR	Nonessential	K16152	COG1629	Inorganic ion transport and metabolism
PA14_20020	hasAp	Nonessential	K12545		
PA14_20030	hasD	Nonessential	K12536	COG4618	General function prediction only
PA14_20040	hasE	Nonessential	K12537	COG1566	Defense mechanisms
PA14_20050	hasF	Nonessential	K12538	COG1538	"Cell envelope biogenesis, outer membrane / Intracellular trafficking and secretion"
PA14_20060		Nonessential			
PA14_20070		Nonessential		COG3223	Function unknown
PA14_20080		Nonessential		COG1566	Defense mechanisms
PA14_20100		Nonessential		COG0842	Defense mechanisms
PA14_20110		Nonessential		COG0842	Defense mechanisms
PA14_20120		Nonessential			
PA14_20130	yeiE	Nonessential		COG0583	Transcription
PA14_20140	fpr	Essential	K00528	COG1018	Energy production and conversion
PA14_20150	nosL	Nonessential		COG4314	Energy production and conversion
PA14_20170	nosY	Nonessential	K01992		
PA14_20180	nosF	Nonessential	K01990	COG1131	Defense mechanisms
PA14_20190	nosD	Nonessential	K07218	COG3420	Inorganic ion transport and metabolism
PA14_20200	nosZ	Nonessential	K00376	COG4263	Energy production and conversion
