cpd24339	C18H24NO4	Cocaethylene
cpd00059	C6H7O6	L-Ascorbate
cpd09028	C21H20O11	Kaempferol 3-O-glucoside
cpd03440	C37H54O3	2-Hexaprenyl-6-methoxy-1,4-benzoquinone
cpd09027	C5H5N4O5	5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate
cpd03117	C33H52N7O18P3S	3-Oxododecanoyl-CoA
cpd03442	C38H55O4	2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
cpd03443	C47H69O3	3-Octaprenyl-4-hydroxybenzoate
cpd00238	C7H13O10P	Sedoheptulose7-phosphate
cpd00239	HS	H2S
cpd00232	C11H18NO9	Neu5Ac
cpd00233	C9H15N5O3	Tetrahydrobiopterin
cpd00231	C9H13N5O3	Dihydrobiopterin
cpd00236	C4H7O7P	D-Erythrose4-phosphate
cpd00237	C19H26O2	Androstenedione
cpd00234	C6H10O6	5-Dehydro-D-fructose
cpd00235	C6H11O9P	D-mannose-6-phosphate
cpd11623	C2H3NO2R	L-Amino acid
cpd11622	HRS	Thiol
cpd11621	Fe2R4S6	Oxidizedferredoxin
cpd11620	Fe2R4S6	Reducedferredoxin
cpd11195	C24H39O4	Murideoxycholic acid
cpd11194	C15H19O5	8'-Hydroxyabscisate
cpd11625	C2O3R	2-Oxo acid
cpd11624	C10H18NO8PR2	Lecithin
cpd11199	C27H46O2	25-Hydroxycholesterol
cpd11198	C27H46O3	(24S)-Cholest-5-ene-3beta,7alpha,24-triol
cpd11628	C3H4OR2S	Acyl-[acyl-carrier protein]
cpd15838	C52H83N3O13P2	CDP-2,3-digeranylgeranyl-sn-glycerol
cpd23146	C45H78NO6P	archaetidylethanolamine
cpd23299	C15H14O2	2-phenylethyl benzoate
cpd15836	C9H14N4O3	L-Carnosine
cpd15916	C72H134O24P	acyl phosphatidylinositol mannoside di-mannose (tuberculosis)
cpd19421	C55H71N4O6.Mg	7(1)-Hydroxychlorophyll a
cpd22783	C80H130O7P2	di-trans, poly-cis-polyprenyl diphosphate (C80)
cpd19423	C35H36N4O6.Mg	3-Hydroxyethylbacteriochlorophyllide a
cpd19422	C35H34N4O5.Mg	3-Vinylbacteriochlorophyllide a
cpd19425	C35H34N4O6.Mg	Bacteriochlorophyllide a
cpd19424	C35H34N4O6.Mg	3-Hydroxyethylchlorophyllide a
cpd17667	C100H166N12O28P2	Und-PP-MurNAc-(GlcNAc)-L-Ala-D-isoglutaminyl-L-Lys-(Gly)3-D-Ala-D-Ala
cpd15910	C14H16N2O6P	unknown degradation product of cbl1 for adocbl-HBI synthesis
cpd11999	C26H31O8	Deoxylimonate
cpd12633	C17H26O15R2	2,3-Di-O-acyl-1-O-(6-O-alpha-D-galactosyl-beta-D-galactosyl)-D- glycerol
cpd11991	O4RS	Alkyl sulfate
cpd11990	C9H15N3O3R2	Acetylhistone
cpd11993	C15H8O5R2	Anthocyanidin
cpd11447	C19036H39872N2400O18300P2400	lipo3-24_BS
cpd11446	C31036H54272N2400O25500P2400	lipo2-24_BS
cpd11445	C26236H47072O25500P2400	lipo1-24_BS
cpd11444	C421H748N2O464P46	gtca3-45_BS
cpd11441	C37H63N7O17P3S	fa6coa
cpd11440	C16H31O2	fa6
cpd11449	C4336H8572N200O1100P100	lysylpgly_BS
cpd11448	C11836H23072O13500P2400	lipo4-24_BS
cpd15919	C88H164O25P	di-acyl phosphatidylinositol mannoside di-mannose (tuberculosis)
cpd15918	C84H154O34P	acyl phosphatidylinositol mannoside tetra-mannose (tuberculosis)
cpd22164	C17H25NO3	(+-)-5-[(tert-butylamino)-2'-hydroxypropoxy]-3,4-dihydro-1(2H)-naphthalenone
cpd23294	C19H16O3	(1E,6E)-1-(4-hydroxyphenyl)-7-phenylhepta-1,6-diene-3,5-dione
cpd05464	C17H16N2O6	Miraxanthin-V
cpd22163	C17H27NO3	(+-)-5-[(tert-butylamino)-2'-hydroxypropoxy]-1,2,3,4-tetrahydro-1-naphthol
cpd23785	C6H12O	3-hexanone
cpd23784	C6H10O	(E)-2-hexen-4-one
cpd01548	C7H9N	N-Methylaniline
cpd01019	C15H16O9	Daphnin
cpd01018	C6H12N2O4S2	Cystine
cpd23783	C5H10O	1-pentan-3-one
cpd23782	C5H8O	1-penten-3-one
cpd01015	CNO	Cyanate
cpd01014	C17H21NO4	Cocaine
cpd01541	C7H17N2O2	L-Carnitinamide
cpd01016	C8H16N2O7	Cycasin
cpd01547	C10H9NO2	Acetylindoxyl
cpd01010	C10H18O	Borneol
cpd01545	C6H6O4	Methylitaconate
cpd01544	C2H8N3	Methylguanidine
cpd07311	C20H18O5	(-)-Glyceollin II
cpd07316	C10H12O	Anethole
cpd01487	C5H10O5	alpha-D-Xylose
cpd10459	C18H31O3	13(S)-HODE
cpd10719	C7H15NO3	D-Carnitine
cpd17849	C21H27NO15	cyclo-Dopa-glucuronylglucoside
cpd17848	C15H19NO9	cyclo-Dopa 5-O-glucoside
cpd17845	C16H24O4	1-(3,4-Dihydroxyphenyl)-5-hydroxy-3-decanone
cpd17847	C33H40O16	Curcumin diglucoside
cpd17846	C27H30O11	Curcumin monoglucoside
cpd17841	C16H20O3	1-(4-Hydroxyphenyl)-1-decene-3,5-dione
cpd17840	C19H16O4	Bisdemethoxycurcumin
cpd17843	C17H22O4	1-Dehydro-[6]-gingerdione
cpd17842	C16H20O4	1-(3,4-Dihydroxyphenyl)-1-decene-3,5-dione
cpd02168	C40H66O7P2	Prephytoene diphosphate
cpd02169	C30H50O7P2	Presqualene diphosphate
cpd02164	C5H9O7PR	Nucleoside 3'-phosphate
cpd02165	C44H77N5O19	O-Palmitoylglycoprotein
cpd02166	C16H23N5O6	O-beta-D-Glucosylzeatin
cpd19439	C12H19NO7R2	Diacylglyceryl-N,N,N-trimethylhomoserine
cpd02160	C9H15N2O5	N2-Succinyl-L-ornithine
cpd02163	C5H9O7PR	Nucleoside 2'-phosphate
cpd24641	C39H50O21	curcumin 4'-O-beta-D-gentiobiosyl 4''-O-beta-D-glucoside
cpd11454	C8H12O13P2R2	Phosphatidylglycerophosphate
cpd24643	C15H19NO9	4-O-met-DIBOA-Glc
cpd24642	C45H60O26	curcumin 4',4''-O-beta-D-digentiobioside
cpd24645	C20H17O6	2,3-dehydrokievitone
cpd24644	C5H9NO3	(2S,3S)-3-hydroxypyrrolidine-2-carboxylic acid
cpd24647	C6H11O9P	1D-myo-inositol (6)-monophosphate
cpd11455	C8H10NO10PR2	ps_BS
cpd24649	C20H17O5	3'-prenyl-5,7,4'-trihydroxyisoflavone
cpd24648	C20H17O5	8-prenyl-5,7,4'-trihydroxyisoflavone
cpd11981	C32H43N10O29P5R2	m7G(5')pppAm
cpd11241	C27H30O13	Flavonol 3-O-beta-D-glucosyl-(1->2)-beta-D-glucoside
cpd21925	C3H8N2O2	23-Diaminopropanoate
cpd26604	C21H30O2	pregn-5-ene-3,20-dione
cpd00834	C11H21N2O7PS	Phosphopantetheine
cpd03255	C21H32O5	3alpha,11beta,21-Trihydroxy-20-oxo-5beta-pregnan-18-al
cpd00836	C10H19NO2S2	S-Acetyldihydrolipoamide
cpd00837	C14H24N6O3S	S-Adenosylmethioninamine
cpd00830	C5H4O6	4-Hydroxy-2-oxoglutarate
cpd00831	C6H11O8P	L-Rhamnulose 1-phosphate
cpd00832	C8H15NO6	N-Acetyl-D-chondrosamine
cpd00833	C8H14NO7	N-Acetyl-D-glucosaminate
cpd00838	C21H42N7O15P	Streptomycin 6-phosphate
cpd15998	C18H30N2O13S	mycothiol conjugated aldehyde
cpd15629	C12H16N2O4	Ser-Phe
cpd15628	C8H16N2O4S	Ser-Met
cpd15627	C9H18N2O4	Ser-Leu
cpd15626	C9H18N2O4	Ser-Ile
cpd15625	C9H14N4O4	Ser-His
cpd15624	C8H15N3O5	Ser-Gln
cpd15623	C6H12N2O4	Ser-Ala
cpd15622	C15H29O2	pentadecanoate (C15:0)
cpd15621	C5H10O	pentanal
cpd15992	C19H37O2	10-methylstearic acid
cpd02788	C6H12O21P5	Inositol 1,2,3,5,6-pentakisphosphate
cpd02780	C6H12O21P5	Inositol 1,2,4,5,6-pentakisphosphate
cpd02782	C17H22N3O18P2	UDP-N-acetyl-D-glucosaminouronate
cpd02784	C6H7O7	2,3-Dioxo-L-gulonate
cpd02785	C41H31O26	Pentagalloyl-beta-D-glucose
cpd02786	C20H29O3	15-OxoETE
cpd02787	C22H28N2O4	16-Methoxy-2,3-dihydro-3-hydroxytabersonine
cpd23972	C15H17O4	pentalenolactone E
cpd24253	C81H132N4O21P2	(N-acetylgalactosaminyl)2-N,N'-diacetylbacillosaminyl-diphospho-di-trans,octa-cis-undecaprenol
cpd23970	C15H24O	[4-(5,5-dimethylcyclohex-1-en-1-yl)-cyclohex-1-en-1-yl] methanol
cpd23971	C15H22O	4-(5,5-dimethylcyclohex-1-en-1-yl)cyclohex-1-ene-1-carbaldehyde
cpd24256	C31H52	showacene
cpd24257	C32H54	dimethylbotryococcene
cpd24254	C105H171N7O36P2	(N-acetylgalactosaminyl)5-N,N'-diacetylbacillosaminyl-diphospho-di-trans,octa-cis-undecaprenol
cpd23975	C15H17O4	neopentalenolactone E
cpd24258	C31H52	monomethylsqualene
cpd24259	C32H54	dimethylsqualene
cpd29673	C10H17N4O6	N(omega)-(L-Arginino)succinate
cpd09819	C36H43N7O19P3S	Naphthyl-2-methyl-succinyl-CoA
cpd09818	C15H12O4	Naphthyl-2-methyl-succinic acid
cpd03567	C7H10O5	2-Propylmalate
cpd09814	C11H11O2	5,6,7,8-Tetrahydro-2-naphthoic acid
cpd03565	C22H21O11	Isoscoparin
cpd03564	C24H35N7O18P3S	3-Oxopropionyl-CoA
cpd09811	C8H8O3	4-Hydroxymethylsalicylaldehyde
cpd09810	C11H9O5	2-Hydroxy-4-hydroxymethylbenzalpyruvate
cpd09813	C7H8O3	4-Hydroxymethylcatechol
cpd03258	C21H30O4	21-Hydroxy-5beta-pregnane-3,11,20-trione
cpd12411	C5H8N2O6PR2	Myosin heavy-chain phosphate
cpd15197	C16H32O2	2-Hydroxy-hexadecanal
cpd12412	C4H6N2O6PR2	Myosin light chain phosphate
cpd12415	C18H32N2O4R	N-Tetradecanoylglycylpeptide
cpd12414	C18H24NO18P2R5	N-Substituted aminoacyl-tRNA
cpd15192	C5H6O5R2	1,2-Diacylglycerol, yeast-specific
cpd25515	C2H6O3PS	O,O-dimethyl phosphorothionate
cpd15199	C37H56O3	2-Octaprenyl-6-methoxy-1,4-benzoquinol (5 repeating units)
cpd15198	C36H54O2	2-Octaprenyl-6-hydroxyphenol (5 repeating units)
cpd29676	C9H13N5O7P	Dihydroneopterin monophosphate
cpd14714	C6H12O21P5	myo-Inositol 1,2,3,4,6-pentakisphosphate
cpd14715	C6H12O21P5	myo-Inositol pentakisphosphate
cpd14716	C27H46O2	Cholesterol-5alpha,6alpha-epoxide
cpd03829	C15H24	(+)-delta-Cadinene
cpd14711	C5H11NO2	4-Methylaminobutyrate
cpd14712	C18H35O4	(9S,10S)-9,10-Dihydroxyoctadecanoate
cpd14713	C18H35O7P	(9S,10S)-10-Hydroxy-9-(phosphonooxy)octadecanoate
cpd14718	C7H5N5O	7-Cyano-7-deazaguanine
cpd24022	C43H60N7O19P3S	9alpha-hydroxy-1,4-BNC-CoA
cpd05920	C21H24N2O3	Ajmalicine
cpd03783	C9H7NO2	Quinolin-2,8-diol
cpd03782	C27H46O3	7alpha,27-Dihydroxycholesterol
cpd03781	C27H46O2	26-Hydroxycholesterol
cpd03780	C9H9NO3	2,5,6-Trihydroxy-5,6-dihydroquinoline
cpd03787	C16H17NO3	Norcoclaurine
cpd03786	C10H9NO	3-Methyl-quinolin-2-ol
cpd03784	C9H7NO	Quinolin-4-ol
cpd03789	C17H19NO3	Coclaurine
cpd03788	C16H17NO3	(R)-Norcoclaurine
cpd24475	C28H48O	4alpha-methyl-cholesta-8-enol
cpd27696	C5H11N3O4	O-ureidohomoserine
cpd25950	C20H38O11	Galf-beta-1,6-Glcp-alpha-octyl
cpd29594	C26H42N7O17P3S	tiglyl-CoA
cpd11296	C6H9O6PS	2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate
cpd11297	C23H52N6O13	Neomycin C
cpd11295	C6H9O6PS	2,3-diketo5-methylthio-1-phosphopentane
cpd25121	C37H69O8P	1-(9Z-octadecenoyl)-2-hexadecanoyl-sn-glycero-3-phosphate
cpd25125	C39H71O8P	1,2-(9Z-octadecenoyl)-sn-glycero-3-phosphate
cpd04031	C20H14NO8	4-Dedimethylamino-4-oxo-anhydrotetracycline
cpd04032	C20H15NO7	4-Hydroxy-6-methylpretetramide
cpd04033	C20H15NO6	6-Methylpretetramide
cpd04034	C28H50O10	3-O-Mycarosylerythronolide B
cpd04035	C17H26N2O14P2	dTDP-beta-L-mycarose
cpd04036	C18H30N3O13P2	dTDP-alpha-D-desosamine
cpd04037	C36H66NO12	Erythromycin D
cpd04038	C37H66NO14	Erythromycin E
cpd04039	C21H38O7	Erythronolide B
cpd05251	C17H29NO11	Neolinustatin
cpd24623	C20H23O7	GA46
cpd08524	C10H8O	1-Naphthol
cpd08523	C10H8O	2-Naphthol
cpd26318	C4H10O2S2	2-hydroxyethyldisulfide
cpd23173	C14H24NO14P	1-O-(2-acetamido-2-deoxy-alpha-D-glucopyranosyl)-D-myo-inositol-3-phosphate
cpd00557	C42H36FeN4O16	Siroheme
cpd00556	C5H5N	Pyridine
cpd00554	C10H14N2	Nicotine
cpd00553	C45H76NO17	Macrocin
cpd00552	F	F-
cpd00551	C4H6O2	DTYL
cpd00550	C3H7NO3	D-Serine
cpd11872	COR2	R-CO-R'
cpd00559	C30H50	Supraene
cpd00558	C10H30N4	Spermine
cpd10475	C20H31O3	16(R)-HETE
cpd10471	C20H33O4	11,12-DHET
cpd10470	C20H33O4	8,9-DHET
cpd10472	C20H33O4	14,15-DHET
cpd10479	C20H33O5	11,12,15-THETA
cpd10478	C20H31O4	15H-11,12-EETA
cpd24418	C7H11N2O5	gly-glu
cpd24414	C7H4ClO2	3-chlorobenzoate
cpd23375	C10H12N5O15P3	8-oxo-GTP
cpd23376	C10H12N5O9P	8-oxo-GMP
cpd23377	C40H58	9'-cis-neurosporene
cpd23372	C16H16N2O2	ergoline-8-carboxylic acid
cpd06783	C10H16O	Pulegone
cpd23595	C38H73NO10P	1,2-dipalmitoyl-phosphatidylserine
cpd06788	C10H16	alpha-Terpinene
cpd21468	C11H20O7P2	(E)-2-Methylgeranyl diphosphate
cpd19612	C16H12O8	5,5'-Dehydrodivanillate
cpd21462	C15H24O	10-Hydroxy-alpha-humulene
cpd01554	C11H14O4	Sinapyl alcohol
cpd21460	C14H12O2	(S)-Benzoin
cpd21461	C14H12O2	(R)-Benzoin
cpd21466	C15H25N2O2	17-Hydroxylupanine
cpd21467	C7H13N3O3	5-Guanidino-3-methyl-2-oxopentanoate
cpd21464	C4H6N2O4	(Z)-3-Ureidoacrylate peracid
cpd01007	C6H6	Benzene
cpd01556	C15H19N2O18P2	UDP-L-iduronate
cpd05783	C33H54O8	Asparagoside A
cpd01208	C6H6O2	Resorcin
cpd01209	C10H8O4	Scopoletin
cpd23192	C18H21N2O8	N-acetyl-5-hydroxytryptamine glucuronide
cpd23193	C12H13N2O5S	N-acetyl-5-hydroxytryptamine sulfate
cpd23194	C11H11NO2	5-methoxyindoleacetaldehyde
cpd23196	C12H16N2O3	AMK
cpd01200	C12H22O11	Palatinose
cpd01201	C12H28N3O7	Paromamine
cpd01202	C9H9O3	Phloretate
cpd01203	C14H12O2	Pinosylvin
cpd01204	C5H11N	Piperidine
cpd01205	C24H48NO7	Psychosine
cpd01207	C21H20O11	Quercitrin
cpd25656	C8H16N2O3	GIPA
cpd23274	C27H42O	26,27-dehydrozymosterol
cpd00242	CHO3	H2CO3
cpd05995	C21H22O10	Prunin
cpd24121	C30H38N7O19P3S	2,4-dihydroxycinnamoyl-CoA
cpd17434	C11H21NO6S2	3-Methylthiopropyl-desulfoglucosinolate
cpd17435	C6H13NOS	5-Methylthiopentanaldoxime
cpd17436	C7H15NOS	6-Methylthiohexanaldoxime
cpd17437	C12H23NO6S2	4-Methylthiobutyl-desulfoglucosinolate
cpd17430	C14H19NO7S	p-Hydroxybenzyldesulphoglucosinolate
cpd17431	C5H11NOS	4-Methylthiobutanaldoxime
cpd17432	C8H16N2O3S2	S-(4-Methylthiobutylthiohydroximoyl)-L-cysteine
cpd17433	C5H10NOS2	4-Methylthiobutylthiohydroximate
cpd05990	C20H34O	Geranylgeraniol
cpd17438	C8H17NOS	7-Methylthioheptanaldoxime
cpd23170	C8H16N2O5	3-[4-amino-3-hydroxybutyl]-hydroxy-carbamoyl-propanoate
cpd23171	C16H30N4O9	pre-alcaligin
cpd23177	C35H58O7P2	(2Z,6Z,10Z,14Z,18Z,22E)-heptaprenyl diphosphate
cpd11751	C10H12N5O3R	tRNA(Tyr)
cpd27508	C13H20O3	Methyl-Jasmonates
cpd27502	C10H18O	Menthones
cpd27506	C34H40N4O15	Methanofurans
cpd23596	C41H82NO8P	phosphatidylethanolamine (dioctadecanoyl, n-C18:0)
cpd11750	C20H28R	Rhodopsin
cpd25578	C5H4NO5	2-hydroxy-5-nitropenta-2,4-dienoate
cpd22966	C20H28N3O9	3,4-dihydroxybenzoate-spermidine-citrate
cpd22967	C13H25N3O6	N-citryl-spermidine
cpd22964	C17H17N5O10P	3,4-dihydroxybenzoate-adenylate
cpd22962	C46H66O7	zeaxanthin-beta-D-glucoside
cpd03385	C2H2O5P	Fosfonet
cpd22968	C20H45N6O5	N8,N'8-citryl-bis(spermidine)
cpd22969	C27H48N6O8	N1-(3,4-dihydroxybenzoyl)-N8,N'8-citryl-bis(spermidine)
cpd02573	C10H15N3O10P2	5-Methyldeoxycytidine diphosphate
cpd02572	C8H5O7	5-Carboxymethyl-2-hydroxymuconate
cpd02571	C9H6NO4	DHICA
cpd03384	C21H41N2O5PR	Ceramide ciliatine
cpd02574	C6H11O7PS	methylthioribose-1-phosphate
cpd16520	C22H27NO5	Kreysigine
cpd02579	C27H29O15	Isovitexin 2''-O-beta-D-glucoside
cpd02578	C16H19NO7	Indole-3-acetyl-beta-1-D-glucoside
cpd03956	C2H4	Ethylene
cpd03957	C2H4O	Ethylene oxide
cpd03952	C27H43NO	Solanidine
cpd02706	C10H18O2	(E)-3,7-Dimethylocta-1,6-diene-3,8-diol
cpd03951	C20H27N2O2	Ajmaline
cpd12060	C15H21N7O5R	Gln-tRNA(Gln)
cpd02707	C7H3O7	4-Oxalomesaconate
cpd12064	C8H14NO4R	O-Acylcarnitine
cpd12066	C6H8N3O4R2	Peptidylglycine
cpd03959	C8H14N5Cl	Atrazine
cpd12543	C18H26N5O6R2S	Carboxybiotin-carboxyl-carrier protein
cpd02709	C10H13N2O9P	1-(5-Phosphoribosyl)imidazole-4-acetate
cpd12017	C15H24O18P3R3	RNA(circular)
cpd12540	C6H8N2O3R2	Procollagen trans-4-hydroxy-L-proline
cpd14969	C28H48O3	(22R,23R)-22,23-Dihydroxy-campest-4-en-3-one
cpd14967	C28H50O2	3-epi-6-Deoxocathasterone
cpd12547	C23H46NO7P	L-2-Lysophosphatidylethanolamine
cpd14965	C6H3O5Br	2-Bromomaleylacetate
cpd14964	C6H4O2Br2	2,6-Dibromohydroquinone
cpd14962	C7H4NO2Br2	3,5-Dibromo-4-hydroxybenzamide
cpd14961	C45H50CoN4O16	Cobalt-precorrin 7
cpd14960	C43H44CoN4O16	Cobalt-precorrin 5B
cpd02317	C19H14O6	O-Methylsterigmatocystin
cpd02315	C9H11N5O3	6-Pyruvoyltetrahydropterin
cpd02314	C17H10O6	6-Demethylsterigmatocystin
cpd02313	C8H12NO4	6-Acetamido-3-oxohexanoate
cpd12545	C11H21O12P*2	beta-D-Glucosylpoly(ribitol phosphate)
cpd02311	C6H6N2O3	4-Imidazolone-5-propanoate
cpd02310	C8H6NCl	4-Chlorobenzyl cyanide
cpd12544	C11H14N5O5R	N6-Alkylaminopurine-7-beta-D-glucoside
cpd02319	C20H29N4O17P	CMP-NeuNGc
cpd02318	C24H38O4	Dioctyl phthalate
cpd15380	C5H10O4	5'-deoxyribose
cpd15385	C8H13N2O5	L-alanine-D-glutamate
cpd15386	C15H25N4O8	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate
cpd15387	C18H30N5O9	L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine
cpd15388	C8H13N2O5	L-alanine-L-glutamate
cpd15389	C12H14N2O2	N-Methyltryptophan
cpd28853	C30H50O	CPD2GG-5266
cpd28856	C31H44N7O20P3S	CPD4FS-4
cpd19616	C6H7NO2	4-Aminocatechol
cpd21129	C11H20N3O5R	LysW-gamma-L-lysine
cpd21128	C11H17N2O6R	LysW-gamma-L-alpha-aminoadipate 6-semialdehyde
cpd21127	C11H18N2O10PR	LysW-gamma-L-alpha-aminoadipyl 6-phosphate
cpd21126	C11H17N2O7R	LysW-gamma-L-alpha-aminoadipate
cpd21125	C5H8NO4R	alpha-Aminoadipate carrier protein LysW
cpd21124	C73H137N3O26P2	Lipid IIA
cpd21123	C89H159N3O40P2	alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-[4-P-L-Ara4N]-lipid IVA
cpd19614	C15H9O10	4-[2-(5-Carboxy-2-hydroxy-3-methoxyphenyl)-2-oxoethylidene]-2-hydroxy-2-pentenedioate
cpd21121	C17H25N5O17P2	GDP-D-glycero-alpha-D-manno-heptose
cpd21120	C7H13O10P	D-glycero-alpha-D-manno-Heptose 1-phosphate
cpd00038	C10H13N5O14P3	GTP
cpd00039	C6H15N2O2	L-Lysine
cpd00035	C3H7NO2	L-Alanine
cpd00036	C4H4O4	Succinate
cpd00037	C17H25N3O17P2	UDP-N-acetylglucosamine
cpd00031	C10H13N5O11P2	GDP
cpd00032	C4H2O5	Oxaloacetate
cpd00033	C2H5NO2	Glycine
cpd03048	C2H5O4S	Isethionate
cpd03049	C14H21N4O8P2S	2-Hydroxyethyl-ThPP
cpd19610	C8H6O7	4-Carboxy-2-hydroxy-6-methoxy-6-oxohexa-2,4-dienoate
cpd08209	C6H7O3	2-Hydroxy-cis-hex-2,4-dienoate
cpd08208	C5H4O3Cl	2-Hydroxy-3-chloropenta-2,4-dienoate
cpd03040	C28H48O	4alpha-Methylcholesta-8-en-3beta-ol
cpd03041	C28H48O	Methostenol
cpd03043	C25H39N7O18P3S	3-Hydroxybutanoyl-CoA
cpd03044	C25H41N8O17P3S	3-Aminobutanoyl-CoA
cpd03045	C13H25NO2S2	S-(2-Methylbutanoyl)-dihydrolipoamide
cpd03046	C13H25NO2S2	S-(3-Methylbutanoyl)-dihydrolipoamide
cpd03047	C26H44NO7S	Taurocholate
cpd05191	C4H7O2S	3-Methylthiopropionate
cpd30779	C14H26N2O5S	4-hydroxy-2-nonenal-[Cys-Gly] conjugate
cpd30774	C8H10O2	(2E,4E,6E)-7-hydroxy-4-methylhepta-2,4,6-trienal
cpd30771	C40H56	9-cis-beta-carotene
cpd30772	C27H36O	9-cis-10'-apo-beta-carotenal
cpd30773	C19H26O3	carlactone
cpd00782	C28H41N7O19P3S	Pimeloyl-CoA
cpd00783	C19H26N4O16PR	CMP-N-acylneuraminate
cpd00780	C8H6O6	Fumarylacetoacetate
cpd00781	C6H9O7	5-Dehydrogluconate
cpd00786	C5H12O8P	Ribitol 5-phosphate
cpd00787	C14H19NO6S	Desulfoglucotropeolin
cpd00784	C6H8O2	Dihydroresorcinol
cpd00788	C5H8NO3	N-Acetyl-beta-alanine
cpd00789	C6H12NO8S	N-Sulfo-D-glucosamine
cpd11606	C46H64O2	Menaquinone 7
cpd11710	C7H14N5O2R2	L-Arginyl-protein
cpd22760	C7H5O4	2-methyl-trans-dienelactone
cpd22761	C7H7Cl	1-chloro-3-methylbenzene
cpd22762	C7H9ClO2	5-chloro-3-methyl benzene dihydrodiol
cpd22764	C7H7ClO	3-chlorobenzyl alcohol
cpd22765	C7H5ClO	3-chlorobenzaldehyde
cpd22767	C30H50	C30 botryococcene
cpd22768	C7H4ClO3	5-chlorosalicylate
cpd22769	C8H7O3	5-methylsalicylate
cpd19444	C7H19N3O2	Carboxynorspermidine
cpd03129	C31H48N7O17P3S	(2E)-Decenoyl-CoA
cpd19440	C5H9NO2	3-Acetamidopropanal
cpd11469	C23H41N2O8PRS	(2E)-Dodecenoyl-[acp]
cpd11468	C23H44N2O8PRS	Dodecanoyl-ACP
cpd11465	C15H25N2O8PRS	But-2-enoyl-[acyl-carrier protein]
cpd11464	C15H28N2O8PRS	Butyryl-ACP
cpd11466	C25H48N2O8PRS	Myristoyl-ACP
cpd25525	C21H38N8O9	Nbeta-acetylstreptothricin F
cpd11463	C4H5N2O3R2	Protein
cpd01789	C8H7NO2	Dihydroxyindole
cpd01788	C10H19O3	10-Hydroxydecanoate
cpd01785	C10H16NO	(+)-Pseudoephedrine
cpd01784	C9H7O3	enol-Phenylpyruvate
cpd01787	C15H20O3	1,2-Dihydrosantonin
cpd01781	C6H5O3	Triacetate lactone
cpd01780	C14H12O9	Sinapoyltartronate
cpd01783	C10H16O	alpha-Pinene-oxide
cpd01782	C5H8O5	D-Xylono-1,4-lactone
cpd22107	C8H5O3	4-carboxybenzaldehyde
cpd05449	C40H39N2O22	Celosianin II
cpd05446	C18H14N2O8	Betanidin
cpd05447	C24H24N2O13	Betanin
cpd05444	C30H31N2O19	Amaranthin
cpd05445	C9H7NO5	Betalamic acid
cpd22108	C8H7O3	4-carboxybenzyl alcohol
cpd01560	C24H39N8O17P3S	beta-Alanyl-CoA
cpd01563	C6H3O6	trans-Aconitate
cpd01562	C6H12O5	beta-L-Rhamnose
cpd01565	C10H18O	Fenchyl alcohol
cpd01564	C9H14NO	Norephedrine
cpd01567	C4H5N4O3	(R)-Allantoin
cpd01566	C15H14O2	(2S)-Flavan-4-ol
cpd01569	C6H4O2	1,2-Benzoquinone
cpd07334	C10H14O3	Dihydroconiferyl alcohol
cpd07333	C9H9O4	Dihydrocaffeic acid
cpd07338	C10H12O	Estragole
cpd07339	C10H12O2	Eugenol
cpd08836	C32H43N2O9Cl	C15003P3
cpd16950	C68H129N2O9PRS	19-keto-cis-41-C57oyl-ACP
cpd16951	C84H163O4	keto-meroacid-2-mycolate
cpd16952	C95H182O15P2	keto-meroacid-2-mycolate-ppm
cpd16953	C83H161O4	keto-meroacid-3-mycolate
cpd16954	C94H180O15P2	keto-meroacid-3-mycolate-ppm
cpd16955	C69H131N2O9PRS	keto-meroacid-2-ACP
cpd16957	C68H129N2O9PRS	keto-meroacid-3-ACP
cpd16959	C7H5O6	Methyl-isoaconitate
cpd10732	C25H21N3O3	Oxidized Oplophorus luciferin
cpd10731	C26H21N3O3	Oplophorus luciferin
cpd02142	C6H20N3	Bis(3-aminopropyl)amine
cpd02143	C6H10O6	D-Galactono-1,4-lactone
cpd02140	C8H13N3O7P	AIR
cpd02141	C39H42N4O12	Bilirubin-glucuronoside
cpd02146	C4H8O2S	Dimethylsulfonioacetate
cpd02147	C4H6O8P	4-Phosphoerythronate
cpd02145	C6H8O6	D-Glucurono-6,2-lactone
cpd02148	C4H8O7P	Erythrulose 1-phosphate
cpd02149	C2H3O2R	Fatty acid methyl ester
cpd13386	C21H32N5O13R3	Glycoprotein with the oligosaccharide chain attached by N-glycosyl linkage to protein L-asparagine
cpd13384	C11H16O19P3R2	1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate
cpd13385	C11H16O16P2R2	1-Phosphatidyl-1D-myo-inositol 5-phosphate
cpd13382	C18H31N2O27S4*	[Heparan sulfate]-glucosamine 3-sulfate
cpd13383	C11H16O19P3R2	1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate
